clusters.cut
AACS	1
AASS	1
ABAT	1
ABCC6	5
ABHD2	7
ACACA	3
ACAD11	2
ACAP3	1
ACAT1	5
ACAT2	5
ACOT6	5
ACOX1	2
ACOX2	2
ACOX3	1
ACSS2	1
ACTR3B	1
ADAMTSL2	1
ADIPOR1	1
ADK	7
ADORA2A	1
AGXT	2
AHCY	2
AIFM1	7
AIG1	1
ALDH1L1	6
ALDH2	5
ALDH4A1	5
ALDH6A1	3
ALG12	7
ALKBH2	1
ALKBH7	1
AMACR	5
AMD1	1
AMDHD1	3
AMFR	7
ANKRD9	1
ANP32E	1
ANXA6	5
ANXA7	7
AP2A2	1
APCDD1	7
ARCN1	7
AREG	1
ARHGAP26	7
ARL6IP1	1
ASNS	5
ASPDH	1
ATAD1	1
ATF5	4
ATG16L1	1
ATG2B	5
ATP11A	1
ATP2B2	5
ATP5F1A	7
ATP5F1B	3
ATP5PD	5
ATP6AP1	7
ATP6AP2	5
ATP8A1	1
ATXN1	5
BAG1	1
BCAP31	1
BCKDHB	1
BCL2L11	1
BFAR	1
BID	1
BLVRB	5
BOLA1	1
BORCS7	5
BRI3BP	1
C1D	1
C1QTNF3	1
CA14	1
CA5A	5
CALCOCO2	3
CAMK4	1
CASK	7
CBS	3
CBX7	1
CCDC28A	1
CCNG2	1
CCNI	1
CDC14A	1
CDC34	1
CDC42BPA	1
CDC42EP1	5
CDKL5	7
CDS2	7
CEL	2
CELF1	5
CENPQ	1
CFD	1
CGNL1	5
CGREF1	7
CHCHD2	7
CHCHD6	1
CHD3	1
CHDH	1
CHKA	7
CHP1	1
CHPT1	5
CHRNA2	7
CHRNB1	7
CIRBP	5
CISD1	5
CKMT1B	1
CLDN1	4
CLEC1B	1
CLEC3B	1
CLEC4F	1
CLPP	1
CMBL	1
CMPK1	1
CNNM2	1
COL27A1	7
COL4A1	5
COL4A2	1
COL7A1	1
COLCA2	1
COMT	1
COPB2	7
COQ8A	1
COQ9	1
CPD	1
CPED1	5
CPS1	8
CPT2	1
CREB1	7
CREB3L3	7
CREBRF	5
CSDE1	7
CTSA	5
CUL3	5
CUNH1orf54	1
CUNH2orf72	5
CUNH5orf51	1
CUNH6orf62	1
CWC22	1
DBT	1
DCAF8	5
DDX42	7
DENND2D	7
DEPDC5	1
DERL1	7
DGAT2	7
DHCR7	1
DHDH	1
DHRS1	1
DHRS13	1
DHRSX	1
DHTKD1	1
DHX32	1
DICER1	1
DIPK1A	1
DLAT	1
DLG3	1
DNAH10	1
DNAI1	1
DNAJA1	5
DNAJC12	1
DNAJC8	1
DNASE2B	1
DPP4	1
DPYD	1
DPYS	5
DSTN	1
EBP	7
ECHS1	3
EDAR	7
EEPD1	5
EFNA2	1
EHBP1	7
EHHADH	2
EI24	1
EIF2AK1	1
EIF5	1
ELOB	3
EMC3	1
EMC7	1
EMILIN1	1
EML5	1
ENO1	1
EPB41L5	1
EPHX1	5
ERBIN	7
ETFA	3
ETFB	3
ETHE1	1
EXOSC7	1
F10	4
F11R	7
F12	1
F5	4
FABP1	7
FADS1	3
FADS2	3
FADS6	1
FAHD1	5
FAM102A	7
FAM156A	1
FAM204A	1
FAM210B	1
FAM3C	1
FAM83F	1
FAM91A1	5
FBH1	1
FBXO21	7
FBXO31	1
FBXO32	1
FBXO4	1
