p.value	R.squared
AACS	2.61076744135699e-18	0.827427808130455
AASS	5.39866878281253e-45	0.927218243678064
ABAT	1.69187115398202e-26	0.888800715232139
ABCC6	1.0004462694649e-15	0.807463153167779
ABHD2	4.13415587630328e-25	0.908749995766056
ACACA	1.22568528488619e-17	0.838193232008516
ACAD11	1.6196168625231e-15	0.832009700725094
ACAP3	1.97744502497474e-12	0.755941902518859
ACAT1	1.57705033024483e-35	0.921508972878382
ACAT2	6.7673773156487e-29	0.8970202156837
ACOT6	4.84714251546445e-10	0.716730466991096
ACOX1	1.56212275613914e-15	0.824562487907629
ACOX2	4.40934623144098e-11	0.751132955566931
ACOX3	6.40644441751639e-10	0.717338199896153
ACSS2	3.03357531541142e-13	0.779692672083122
ACTR3B	1.1674136953721e-22	0.875675164853984
ADAMTSL2	1.77857076125375e-11	0.734307260034317
ADIPOR1	2.70597958562046e-13	0.800682507346797
ADK	1.62307161624503e-17	0.849105471517608
ADORA2A	6.24266224577037e-11	0.718520109486438
AGXT	7.58712975904198e-23	0.882215009900074
AHCY	7.6333534680445e-12	0.773743911369538
AIFM1	1.55126068265893e-13	0.799557987204809
AIG1	9.76389636291856e-10	0.744301677819258
ALDH1L1	2.21841493381984e-22	0.871792998388946
ALDH2	5.75681871981555e-51	0.947137041184593
ALDH4A1	1.63514861696331e-18	0.834688092814091
ALDH6A1	1.88247216732398e-11	0.782579767836384
ALG12	5.91550710759439e-10	0.745746323769599
ALKBH2	5.26193109258472e-10	0.76914431984155
ALKBH7	1.33766581083587e-16	0.839913815893521
AMACR	3.18593634456408e-11	0.789202855486256
AMD1	1.76473869795474e-10	0.7210391240667
AMDHD1	2.16282092913985e-11	0.778078671263028
AMFR	1.87911584544135e-26	0.895813849260321
ANKRD9	2.82727310961321e-14	0.815312424734089
ANP32E	1.93696750646731e-09	0.700355756350784
ANXA6	8.30035312662124e-12	0.763927750380103
ANXA7	7.60331601733391e-10	0.751546088397064
AP2A2	2.12558696479151e-23	0.879791309391873
APCDD1	7.4527622581646e-19	0.851527140276161
ARCN1	5.56646758196588e-15	0.8033199375405
AREG	6.23856322993438e-10	0.705315587248773
ARHGAP26	2.98244673453528e-10	0.721351441073292
ARL6IP1	6.60320110356857e-11	0.76988932325869
ASNS	1.31478796148291e-20	0.868228910308305
ASPDH	2.41387500888495e-12	0.785998156832115
ATAD1	1.19569578355923e-10	0.767377035252961
ATF5	8.3121598765197e-35	0.913192916892708
ATG16L1	3.24462985626345e-08	0.71356723006809
ATG2B	7.40589261917244e-14	0.816070350927205
ATP11A	3.16810506210254e-11	0.76550308648756
ATP2B2	1.63662452660276e-14	0.809555320077903
ATP5F1A	3.131128435982e-12	0.789780486685279
ATP5F1B	2.97949339772652e-18	0.854383288389669
ATP5PD	4.7131956629756e-08	0.711095565752927
ATP6AP1	1.74794410124291e-12	0.767275719510511
ATP6AP2	1.22604995423878e-16	0.838724879840721
ATP8A1	1.90281415634119e-09	0.70520672627876
ATXN1	9.62650103227533e-19	0.85285672139684
BAG1	2.8581409856462e-09	0.736297774609646
BCAP31	8.74027416475092e-11	0.761469594388601
BCKDHB	2.3995828295156e-35	0.916534493138981
BCL2L11	7.09910857650484e-11	0.773740320523653
BFAR	6.87378463475591e-12	0.786214379735425
BID	2.19677586835076e-11	0.772416336554631
BLVRB	2.67714360961226e-14	0.812725512757207
BOLA1	1.37062702211661e-14	0.814569201160858
BORCS7	1.50801296543844e-11	0.783810123676802
BRI3BP	5.38084423271147e-13	0.770909679630517
C1D	5.16770378791338e-15	0.800271753615024
C1QTNF3	4.68006459428579e-10	0.78274422735747
CA14	3.09209140618334e-12	0.740835779134962
CA5A	7.01501862691826e-10	0.7069886149848
CALCOCO2	8.43141097900343e-13	0.796931368127655
CAMK4	2.37942146117854e-11	0.735027298779987
CASK	3.27046233018214e-08	0.717467361408734
CBS	1.3358540902579e-22	0.875969467464214
CBX7	7.7073059926563e-11	0.732679193498822
CCDC28A	2.15574638218874e-13	0.801794548163558
CCNG2	6.29181160607038e-20	0.84583165988919
CCNI	7.70345002485588e-15	0.823050092511234
CDC14A	3.82704217452148e-08	0.711618108812116
CDC34	1.44519474487648e-14	0.825770999519089
CDC42BPA	7.64506775957962e-14	0.790571964088986
CDC42EP1	3.17660213665488e-09	0.746021989170428
CDKL5	5.81872902905985e-13	0.777394452103284
CDS2	9.01258265747524e-08	0.700531239152207
CEL	8.50884750084351e-11	0.704463770826913
CELF1	5.52936807232806e-12	0.786450975237844
CENPQ	1.81612326091656e-09	0.744004364015819
CFD	2.31585415439423e-24	0.892388848280037
CGNL1	3.32320103980051e-08	0.710564834903421
CGREF1	4.57067046272845e-12	0.742893413548073
CHCHD2	6.38017157718363e-19	0.855540640240857
CHCHD6	1.11576479096052e-09	0.710246300806927
CHD3	4.06286111891238e-10	0.75788128184579
CHDH	1.21129228351134e-35	0.9194356726362
CHKA	2.61722299631202e-10	0.73088963014176
CHP1	3.11590375898209e-11	0.771975435354965
CHPT1	7.38497616079449e-29	0.904571905435711
CHRNA2	3.51190189175805e-08	0.712603616739337
CHRNB1	2.33784573491861e-16	0.800060806100478
CIRBP	6.07763302205242e-17	0.843123686970392
CISD1	1.58978727487584e-17	0.84375002731139
CKMT1B	1.15908503973601e-09	0.716725940252559
CLDN1	3.76616283435382e-14	0.793421091949216
CLEC1B	8.30407298685828e-18	0.846844344777847
CLEC3B	1.40533534491309e-13	0.791875471138942
CLEC4F	1.85156635916382e-08	0.710374366546597
CLPP	1.21909542275578e-11	0.762776991563926
CMBL	2.32208309563302e-09	0.740890132393072
CMPK1	3.19782459233097e-17	0.846632556798039
CNNM2	5.32938550333985e-18	0.832825472552181
COL27A1	3.7204092594129e-44	0.927944887287313
COL4A1	2.63204613421227e-14	0.786925867820048
COL4A2	3.99932876354613e-13	0.76708846630262
COL7A1	6.91078068355462e-18	0.850954262859798
COLCA2	2.0482539966587e-10	0.745373362107609
COMT	1.92021352839991e-29	0.900046175064584
COPB2	2.16496154954426e-10	0.726559952915417
COQ8A	3.05411440635869e-24	0.885475697134778
COQ9	6.07625007173065e-11	0.747539585071831
CPD	1.59664930064992e-14	0.825158466743637
CPED1	1.45902266284202e-09	0.713136226432134
CPS1	2.76056616669388e-14	0.824374499339006
CPT2	8.03908986345788e-15	0.816018501399297
CREB1	2.85841874050109e-11	0.746514876827993
CREB3L3	1.13660842059984e-09	0.705275961330604
CREBRF	2.30182666387975e-20	0.858756872898503
CSDE1	2.12401012003568e-09	0.740122421757781
CTSA	8.31250672243462e-12	0.768383265023435
CUL3	5.43873599715138e-10	0.754475518600713
CUNH1orf54	9.03931792333414e-16	0.809062984145932
CUNH2orf72	4.25874782863089e-16	0.822648489486698
CUNH5orf51	4.62194082190802e-15	0.794291267797755
CUNH6orf62	1.66560161085643e-13	0.782786696480218
CWC22	3.81274057619365e-20	0.869147363018517
DBT	7.77567150699538e-25	0.889083272882324
DCAF8	3.39484667001843e-14	0.79251879862127
DDX42	8.82415535908231e-10	0.705934681352148
DENND2D	7.93852372704994e-13	0.799657718197159
DEPDC5	3.39923799371102e-09	0.709562874807674
DERL1	1.94038588414972e-10	0.727431794408294
DGAT2	1.72348152426333e-16	0.843780657691991
DHCR7	2.88666166917195e-09	0.705035502991701
DHDH	3.38359697745886e-37	0.928983221951006
DHRS1	1.42527230304411e-14	0.802477333076589
DHRS13	2.50842559536914e-14	0.814456345161114
DHRSX	2.24392828118672e-22	0.871558756329845
DHTKD1	4.09656450321761e-21	0.864954392926975
DHX32	8.46578157865361e-13	0.799872975824593
DICER1	4.00826230274155e-18	0.833378148489694
DIPK1A	4.82626964987369e-09	0.743868516787923
DLAT	2.25823194085839e-10	0.721973579590389
DLG3	7.17218110234815e-09	0.72366254093464
DNAH10	8.14962719778559e-10	0.723651860029705
DNAI1	3.35507751367758e-20	0.857228932199215
DNAJA1	3.7548179450392e-16	0.8366621989304
DNAJC12	1.43594569390804e-15	0.831644133990026
DNAJC8	1.3272669785065e-10	0.741364610886017
DNASE2B	5.81682526990751e-10	0.72789264853852
DPP4	1.35338929519125e-14	0.816589985867888
DPYD	7.76584662157539e-09	0.722800429702292
DPYS	9.60878826001908e-09	0.724457316205869
DSTN	7.04369058722589e-08	0.712061560757351
EBP	1.30863207583892e-11	0.764382698716772
ECHS1	2.93280384523806e-32	0.911004697541942
EDAR	7.78631508194739e-16	0.751717592032708
EEPD1	2.50786637163218e-09	0.739612272396821
EFNA2	2.21496489397599e-14	0.823254348760549
EHBP1	6.0138693461976e-15	0.799877881851733
EHHADH	7.06957227803728e-25	0.886507495518276
EI24	1.54343871230042e-10	0.746528140060685
EIF2AK1	6.13589885271706e-10	0.753350396055921
EIF5	1.67512745844258e-12	0.770943301356597
ELOB	2.23158085938255e-21	0.867607241344398
EMC3	7.94599713303789e-14	0.806483553202048
EMC7	3.83029471028111e-10	0.753408757211302
EMILIN1	2.25246371589157e-11	0.743453502995496
EML5	6.46223470484952e-13	0.773019282035584
ENO1	3.89872141253613e-17	0.822301151215469
EPB41L5	7.6903846893688e-17	0.847338464674636
EPHX1	6.25907848115111e-11	0.735411529900915
ERBIN	7.35599352989201e-09	0.727984913588531
ETFA	8.64451106245191e-12	0.788648938175112
ETFB	5.13357189185962e-10	0.72522462463302
ETHE1	2.53410472038155e-08	0.707241530961689
EXOSC7	3.08805499498477e-20	0.847806349466777
F10	8.18131533498502e-15	0.823826181631337
F11R	1.1933872283687e-07	0.704006579010636
F12	4.97869436113528e-16	0.814711513466563
F5	4.73372762762941e-23	0.861073026839504
FABP1	4.42514517296479e-30	0.901118516901314
FADS1	8.02843331419514e-33	0.924214656317808
FADS2	1.46986412859656e-09	0.743455915224522
FADS6	1.74115108565361e-10	0.753294012637408
FAHD1	1.17069084894822e-09	0.741142122236801
FAM102A	2.07589164920273e-09	0.74320560836207
FAM156A	2.78744376458225e-12	0.764058190337135
FAM204A	6.6047351274141e-10	0.745856603460463
FAM210B	2.74964861750616e-08	0.710691879198235
FAM3C	1.82381325894919e-11	0.748957438745485
FAM83F	8.57942513407366e-20	0.842889462223915
FAM91A1	7.11059643006282e-13	0.799234040468677
FBH1	1.35366267065588e-09	0.746651740988358
FBXO21	1.84659744893289e-21	0.872050567627449
FBXO31	5.05551839639155e-14	0.797022035875142
FBXO32	5.21329478306945e-10	0.72526741093002
FBXO4	3.7394435205068e-16	0.817440169476625
FCGR2B	4.32993931986576e-10	0.744828765464758
FDPS	5.91527921752931e-42	0.93411601211747
FDX1	8.65320912397452e-25	0.878445158618753
FDXR	9.12662548438304e-11	0.769818210811264
FGF13	7.09165707611231e-11	0.751814694538316
FGF21	1.91042984509572e-13	0.80796237049221
FGFR3	3.19384495849123e-08	0.718904808984151
FKBP1A	2.31115014788399e-17	0.845216756768785
FMO3	1.45769799431239e-09	0.712644733642791
FMO5	2.00159277514802e-12	0.773749796736248
FNDC3B	5.34094309296013e-09	0.708087392415789
FRMPD1	1.09610817267732e-15	0.765889658682582
FRRS1	3.164119655868e-08	0.700929734500565
FTL	9.98389109996379e-11	0.776456095352654
FUCA1	3.25879269757011e-12	0.789436523156889
FUCA2	7.79852943978809e-14	0.816433083265325
FUT1	9.1471390581635e-41	0.929004973333543
FYCO1	4.02982835874779e-14	0.793542710977002
G3BP2	5.25901484812034e-19	0.828848551724971
GABARAPL1	4.63288128384956e-24	0.888743941438873
GADD45A	5.97628362734528e-14	0.785086493983802
GAPDH	5.59974719286148e-14	0.820814084454208
GATM	2.01581762925227e-12	0.755552778159057
GCA	1.43572499242367e-13	0.782682615763783
GCAT	1.39414878684679e-42	0.920767675928677
GCDH	3.23153282896032e-30	0.899942414770389
GCHFR	4.75470547257773e-15	0.819870088199968
GCSH	2.42679015420262e-08	0.702550909034102
GDE1	5.25881345184465e-16	0.833616657012422
GDF10	3.28858866853158e-14	0.81163400460897
GEN1	4.97567192129849e-24	0.883054901253935
GGCX	3.46354143135232e-12	0.74895734860888
GGT1	5.08276215703889e-26	0.894337066993557
GLO1	3.89496996520373e-08	0.709957755537453
GLS2	1.18938809922639e-09	0.735610360515944
GLT1D1	2.2306362799426e-11	0.735551482438723
GLUD1	3.34936414733791e-10	0.75834267031067
GNAI3	8.27886517237086e-14	0.813787271027823
GNPDA1	5.99894201688621e-09	0.709706501187815
GOLIM4	6.35987929446371e-09	0.724068771479734
GORASP2	1.87139841763853e-25	0.889142253025727
GOT1	3.21156465876407e-10	0.761355461639369
GPC3	7.03664681636778e-25	0.87036978805381
GPC4	1.17566685515633e-08	0.720931855057516
GPI	3.75074648530654e-45	0.936797357506831
GPR107	7.3771252270775e-23	0.877607085811843
GPT	3.40738771491223e-24	0.869393416547683
GPX3	2.40174541433221e-13	0.82007599416159
GPX4	1.0689462803912e-08	0.719835033762515
GRHL1	2.15910763686656e-09	0.718022008757293
GRSF1	2.1311567450369e-12	0.793715215648673
GSE1	3.58141881340664e-12	0.7843339332424
GSR	3.38155405070729e-21	0.865494790010636
GSS	7.74017012323854e-09	0.72562985244496
GSTO1	1.21324260632027e-08	0.723559847551754
GSTZ1	2.4666448778062e-12	0.791562098487526
HACD2	1.04116932670128e-36	0.928058966597423
HAGH	2.42735468215685e-18	0.837619324317577
HBP1	4.95152873746639e-09	0.734750542695074
HDHD5	4.69846509374898e-18	0.85095377285206
HERPUD2	4.84585368413761e-13	0.805481252203462
HJV	1.2907091960944e-11	0.765532167245173
HLCS	6.52937069331676e-11	0.761271029283524
HMCN2	3.33000523437434e-10	0.715095706484802
HMGCL	8.65624849601092e-22	0.87347361298012
HMGCR	2.71071883338613e-28	0.880713653785432
HMGN3	2.75181989309189e-13	0.815800014239811
HMOX2	2.46197938758849e-09	0.749043778431672
HNRNPA3	1.05433859883017e-10	0.766217345494457
HNRNPK	7.35060626515197e-09	0.729323874318866
HPD	3.99180289865163e-26	0.888613824572968
HRG	2.59787255150213e-15	0.801841248448726
HSD17B10	2.70697760400194e-08	0.713248416938832
HSD17B13	2.39144638995425e-13	0.780517450867262
HSD17B4	3.72332907091546e-17	0.838201726380511
HSD17B6	8.05071819626765e-15	0.818542081106084
HSD17B7	2.56433602405511e-10	0.736389507928155
HSP90AA1	7.7967933053778e-12	0.748425100847648
HTATIP2	1.94579983097397e-12	0.789987144255073
ICAM5	4.13388222348282e-12	0.724202505543916
IDH3B	1.20912341371267e-10	0.751199234511934
IDH3G	1.03515327026747e-09	0.71373268818968
IDNK	1.19131493999025e-11	0.744700762082949
IDS	2.40972812788821e-09	0.702128454205681
IFT22	2.60419768415387e-11	0.747242095908229
IGF2	6.76129947103501e-08	0.703460748825875
IGFALS	2.32236733682036e-12	0.794200630242521
IL17RB	1.95225949864571e-12	0.73904454756203
ILF2	3.6657877717748e-14	0.791425009136862
ILK	4.85010759223397e-10	0.723748251689837
ILVBL	4.55607796806039e-23	0.874362616765634
INHBA	1.53352369860177e-11	0.756356765128876
INHBB	1.52548422170181e-18	0.862430797954348
INSR	3.3511943630925e-09	0.700011184994866
IPO7	1.22135573935695e-08	0.717440326991735
ISCU	6.53285083874241e-15	0.828567364050944
ITFG1	3.32734422221277e-13	0.80361366755307
ITGB1	2.05778840367046e-09	0.71161176989367
IVD	2.15028087169712e-19	0.857553769488948
JTB	5.19006913372381e-09	0.730729611494281
KCNB1	4.90298751852511e-20	0.838560278627956
KCNQ4	2.16732755304651e-11	0.746528252040157
KCTD2	1.45017326453197e-13	0.778614570057443
KDELR2	8.12440220605489e-10	0.717029513021601
KIAA0232	8.31186938371092e-11	0.737805412251369
KIAA0319	3.71715091675652e-14	0.811270000756133
KIAA0355	2.12027861158489e-08	0.719704978006492
KIAA0930	1.46228613430391e-10	0.727734925922259
KLF9	1.44845442775859e-09	0.756626608131938
KLHL21	2.24515040977997e-11	0.730403313571892
KLHL24	4.91874307600891e-29	0.902866555519641
KLHL36	1.48131366904829e-16	0.822144856750424
KNG1	3.25953154671418e-20	0.870534330024158
KYNU	4.48049781462278e-18	0.846948732987392
L2HGDH	4.18526621035059e-08	0.704814120156907
LACTB	9.35534008781487e-10	0.756495756077994
LAG3	1.75001130304879e-11	0.779588293444585
LALBA	9.46197942743905e-16	0.807634714681847
LAMP1	5.07637510681804e-20	0.845284197456362
LAMP2	2.61628039022043e-28	0.899125537459704
LARP1B	1.68465626407728e-07	0.706420139385579
LEPR	3.74065790093908e-16	0.797467729442331
LIG4	4.7176017763188e-10	0.74622018479234
LIME1	2.1044056350261e-12	0.784979388651885
LMAN1	3.21557036608718e-09	0.738975219802302
LMBRD1	8.69553932361316e-13	0.803248001749068
LMF2	3.02559021368583e-12	0.749890680339748
LOC113240756	2.86273103664306e-10	0.760245624168437
LOC113240760	1.09521557340991e-08	0.718852762272589
LOC113240871	3.77226044488485e-18	0.851693916643166
LOC113240971	3.02804856425391e-17	0.846631035308192
LOC113240972	9.61606826289636e-28	0.895343188304384
LOC113241107	1.69750519040631e-10	0.71601207352628
LOC113241656	3.1374763960425e-17	0.824421421153477
LOC113241702	5.99896510235755e-30	0.902782914031244
LOC113241734	4.34938467932292e-10	0.725263092367516
LOC113243070	4.04143550107851e-08	0.708225963267673
LOC113243075	1.37729520574515e-09	0.708801324867684
LOC113243079	8.75974422408603e-12	0.73794075708216
LOC113243099	4.63076446395533e-19	0.86037671178826
LOC113243250	2.17132284021944e-14	0.798719435601417
LOC113243251	7.51556763301538e-13	0.782291060577042
LOC113243476	6.89033950976098e-11	0.746485460524864
LOC113243734	2.58698261342733e-09	0.738611663254092
LOC113244485	1.24921739560402e-27	0.886675343010454
LOC113245148	1.40148550540786e-15	0.79015867451563
LOC113245455	7.56580556423293e-14	0.785816854941773
LOC113245526	5.56643490386454e-14	0.815381354771706
LOC113245666	4.00380611397499e-10	0.721614522459135
LOC113245930	1.38934208843415e-16	0.786643280252544
LOC113246025	1.63999108579026e-10	0.76569632100022
LOC113246351	3.83603299929607e-19	0.830570224792374
LOC113246847	2.60325859885257e-09	0.742735362331723
LOC113247025	9.26599595688329e-13	0.772910261442344
LOC113247409	2.82960616479691e-12	0.768894369773212
LOC113247439	8.02749304509717e-09	0.735019603696517
LOC113247918	3.10588233512881e-10	0.73402905605651
LOC113248100	4.41662143187825e-13	0.771568986903937
LOC113248440	3.55388679196208e-10	0.75837516705888
LOC113248504	1.57410234678183e-12	0.792223089626668
LOC113248512	7.62264163716018e-13	0.772350652978327
LOC113248705	2.67356562714881e-10	0.738077531849129
LOC113248719	1.14370841084779e-09	0.701003325219577
LOC113248951	3.12386145649678e-12	0.787115863988421
LOC113249229_LOC113250325	2.50957551333434e-09	0.782746240644069
LOC113249594	1.4005685421513e-15	0.81625225582177
LOC113249641	2.34650994304042e-11	0.707886559303274
LOC113249713	2.28041183674422e-10	0.717536769949157
LOC113249722	6.21348859634421e-14	0.810227768243691
LOC113249877	7.11831998775969e-14	0.813835952807135
LOC113249880	7.11831998775969e-14	0.813835952807135
LOC113249945	5.33848774186243e-25	0.892717224798828
LOC113250325	6.59871336977408e-08	0.703586683972101
LOC113250325_LOC113247942	2.94840036251908e-15	0.764040815375944
LOC113250325_LOC113247950	3.54196612859597e-13	0.783567868745973
LOC113250565	6.10685266469203e-16	0.817960165264104
LOC113251461	1.71882492427068e-11	0.72886518939116
LOC113251645	8.17250968447637e-28	0.873182206584869
LOC113251689	9.41260612876872e-47	0.924178001639668
LOC113251747	2.40595262613936e-15	0.826104027559615
LOC113251748	6.14376488606572e-12	0.783979230863162
LOC113252104	1.95067007635771e-18	0.827375118217065
LOC113252105	4.00194027332705e-19	0.853226714185242
LOC113252115	1.23920124366483e-43	0.934580522347878
LOC113252151	7.38430505711906e-12	0.794222647022567
LOC113252198	3.1337164533095e-11	0.773281606444598
LOC113253237	3.14789129618604e-24	0.883068462265138
LOC113253363	2.99373145679999e-16	0.822707385827994
LOC113253364	8.13673326109336e-10	0.72537738974908
LOC113253526	2.35093666957156e-22	0.860781461295291
LOC113253742	6.92899131468281e-10	0.700387630829827
LOC113254111	5.61938275879002e-08	0.7019343383347
LOC113254311	2.49390866283006e-10	0.713755583084056
LOC113254484	7.82340798273654e-11	0.763432333890005
LOC113254571	7.51572779149344e-13	0.746202372056316
LOC113254572	2.9168147954145e-11	0.725010167273522
LOC113254994	3.93451195361621e-17	0.819738362500416
LOC113255043	1.13274535695032e-09	0.717956722903831
LOC113255116	3.96948224435933e-09	0.732964064543703
LOC113255131	8.40585121045892e-09	0.73185476886738
LOC113255471	8.42138108872336e-13	0.781014554963092
LOC113255542	1.30754601172614e-14	0.80945769130532
LOC113255961	4.68908344596217e-12	0.759501325122344
LOC113256167	1.40787330059946e-12	0.794781928395634
LOC113256842	8.41907034259668e-15	0.814180957044398
LOC113258489	6.47947015288425e-14	0.813817715369178
LOC113258491	3.02105253809511e-15	0.807783684736751
LOC113259502	1.02249131563031e-16	0.808386268065193
LOC113259644	5.40898305596837e-13	0.799129355790907
LOC113259854	2.17911271895631e-17	0.82402981168129
LOC113260369	1.44624380712986e-18	0.850941132144878
LOC113260385	1.20609460444757e-09	0.753121293976796
LOC113260424	1.93633191045797e-09	0.710183217827964
LOC113260850	1.22496542804796e-10	0.762248849900384
LOC113260887	4.91209993965087e-49	0.939668987665218
LOC113260887_LOC113260889	9.54426990527438e-39	0.927594962883369
LOC113260889	5.5283084064126e-27	0.907393128944319
LOC113260891	7.98020781731617e-15	0.825045001655878
LOC113261185	4.33617736186307e-14	0.801070261527766
LOC113262286	1.86643970381826e-33	0.914704358958031
LOC113262548	1.64368862841673e-11	0.776888412210556
LOC113262552	2.73534535017301e-11	0.776896942963015
LOC113262557	1.01774915922838e-09	0.744725438426518
LOC113262632	4.84606142550934e-08	0.71457436472172
LOC113263090	2.42688870109135e-09	0.731015908688414
LOC113263118	8.93270400763029e-14	0.799505995841864
LOC113263167_SPARCL1	2.60780888928466e-09	0.713682315966697
LOC113263732	9.39038694322789e-12	0.745312449842185
LOC113264291	2.4613455475578e-08	0.710076851162019
LOC113265479	5.3019698535081e-09	0.733149223426718
LOC113265650	5.4111595202088e-10	0.746107189865867
LOC113265909	3.43591285780628e-19	0.82965448319083
LOC113265910	3.74190555243843e-15	0.822129884775591
LOC113266934	3.8777849707543e-35	0.913832894425742
LOC113267102	3.03040932129921e-15	0.769691362421706
LOC113267314	1.22627933623396e-10	0.770199990542104
LOC113267345	1.83442398036754e-12	0.774520450362583
LOC113267549	4.2756230999124e-27	0.89662907957759
LOC113267642	1.43666757378813e-33	0.913627243599468
LOC113267808	3.53109572728067e-12	0.772638307852325
LOC113268059	2.20984590419865e-19	0.856031389330035
LOC113268718	1.84060846873872e-19	0.859518257879468
LOC113268946	2.65969090406259e-11	0.772016327876081
LOC113269479	9.34767684533437e-13	0.756402177771116
LOC113269565	3.15226207774067e-09	0.730632247832505
LOC113269868	1.24608524888686e-11	0.759007440331532
LOC113270245	4.06801259560315e-20	0.850986818792058
LOC113270361	1.18694579029604e-37	0.920941585842524
LOC113270440	1.57704909057278e-18	0.833396607243158
LOC113270559	8.41023354431895e-11	0.771947223419172
LOC113270588	1.56387329266698e-11	0.750708356294197
LOC113270720	3.75387740504102e-09	0.735551753740305
LOC113270721	3.43453502648032e-08	0.72653184557254
LOC113270937	1.25982672472731e-15	0.816843701709311
LOC113271041	1.48971901933512e-11	0.747556179602723
LOC113271231	1.52020716195647e-14	0.812203416494427
LONP1	5.90253604590237e-13	0.775449053521549
LONRF3	3.19881914350512e-16	0.810661043750122
LRGUK	6.1675510648745e-15	0.844408154924572
LRIG1	3.36441830627835e-11	0.743683396189831
LRP11	4.87922201530445e-19	0.855456934864714
LRP6	6.76327884705704e-14	0.806962596785848
LRRC39	3.06755532124918e-09	0.704922108686574
LRRC47	9.76350110083946e-12	0.742984305232207
LRRC57	2.01417201226012e-08	0.706896192366234
LRRC58	4.47250105147951e-12	0.791230432009203
LRRC59	1.41095925472516e-21	0.854628994778001
LSAMP	4.49894068381677e-15	0.780499199066711
LSM4	8.17829671043183e-19	0.862360020212698
LSS	3.30744536226359e-23	0.84647734322692
LTBP2	7.06439728690459e-11	0.750243791200874
LYPLA1	4.8396498023587e-08	0.702878261732851
MAGED1	1.1854498260416e-11	0.78400489888396
MAGOHB	4.35724068410604e-09	0.704947272994807
MALSU1	1.32169752272649e-16	0.836974348548742
MAN2B1	4.19902426093056e-11	0.75315140292439
MAP2K6	2.26383013110354e-10	0.747763935969063
MAP3K12	3.54560080901439e-11	0.74246537978201
MAP3K3	2.78979317022859e-14	0.798684212828622
MAP4K3	1.68583318283356e-12	0.76351146531107
MAP7	1.50126554437094e-09	0.73892362775784
MAPK10	7.98677688270392e-11	0.723626934286356
MAPK1IP1L	8.01035999360561e-13	0.770116055708232
MARCH7	1.58276141256189e-09	0.705006728289936
MARS	5.60794815019879e-10	0.710683187002881
MAT1A	3.54752265949191e-10	0.730391089357477
MBL2	5.99077079087366e-15	0.822231960016462
MBNL2	1.67714883875996e-11	0.723604863274295
MCCC1	2.46904530137945e-09	0.72965292508501
MCCC2	1.56210072152401e-18	0.851146528910008
