




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
glycerophosphoinositol glycerophosphodiesterase activity (GO:0047395)	1	1	.01	+	 > 100	1.71E-02	1.00E00
beta-N-acetylglucosaminidase activity (GO:0016231)	1	1	.01	+	 > 100	1.71E-02	1.00E00
propionyl-CoA carboxylase activity (GO:0004658)	1	1	.01	+	 > 100	1.71E-02	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102167)	1	1	.01	+	 > 100	1.71E-02	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102166)	1	1	.01	+	 > 100	1.71E-02	1.00E00
intraciliary transport particle A binding (GO:0120160)	1	1	.01	+	 > 100	1.71E-02	1.00E00
thienylcyclohexylpiperidine binding (GO:0016596)	1	1	.01	+	 > 100	1.71E-02	1.00E00
Atg8 activating enzyme activity (GO:0019779)	1	1	.01	+	 > 100	1.71E-02	1.00E00
Atg12 activating enzyme activity (GO:0019778)	1	1	.01	+	 > 100	1.71E-02	1.00E00
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	1	.01	+	 > 100	1.71E-02	1.00E00
methylenetetrahydrofolate reductase NADPH activity (GO:0106313)	1	1	.01	+	 > 100	1.71E-02	1.00E00
methylenetetrahydrofolate reductase NADH activity (GO:0106312)	1	1	.01	+	 > 100	1.71E-02	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102571)	1	1	.01	+	 > 100	1.71E-02	1.00E00
deoxycytidine deaminase activity (GO:0047844)	2	1	.02	+	57.70	2.56E-02	1.00E00
cytidine deaminase activity (GO:0004126)	2	1	.02	+	57.70	2.56E-02	1.00E00
glycine binding (GO:0016594)	2	1	.02	+	57.70	2.56E-02	1.00E00
oxygen sensor activity (GO:0019826)	2	1	.02	+	57.70	2.56E-02	1.00E00
beta-N-acetylhexosaminidase activity (GO:0004563)	2	1	.02	+	57.70	2.56E-02	1.00E00
ADP-sugar diphosphatase activity (GO:0019144)	2	1	.02	+	57.70	2.56E-02	1.00E00
peptidyl-proline 4-dioxygenase activity (GO:0031545)	3	1	.03	+	38.47	3.39E-02	1.00E00
glutamate binding (GO:0016595)	3	1	.03	+	38.47	3.39E-02	1.00E00
ADP-ribose diphosphatase activity (GO:0047631)	3	1	.03	+	38.47	3.39E-02	1.00E00
methylcytosine dioxygenase activity (GO:0070579)	3	1	.03	+	38.47	3.39E-02	1.00E00
glycerophosphodiester phosphodiesterase activity (GO:0008889)	3	1	.03	+	38.47	3.39E-02	1.00E00
hyalurononglucosaminidase activity (GO:0004415)	3	1	.03	+	38.47	3.39E-02	1.00E00
peptidyl-proline dioxygenase activity (GO:0031543)	4	1	.03	+	28.85	4.22E-02	1.00E00
biotin binding (GO:0009374)	4	1	.03	+	28.85	4.22E-02	1.00E00
CARD domain binding (GO:0050700)	5	1	.04	+	23.08	5.05E-02	1.00E00
nucleoside binding (GO:0001882)	5	1	.04	+	23.08	5.05E-02	1.00E00
CoA carboxylase activity (GO:0016421)	5	1	.04	+	23.08	5.05E-02	1.00E00
ribosomal small subunit binding (GO:0043024)	10	2	.09	+	23.08	4.52E-03	1.00E00
ubiquitin-like modifier activating enzyme activity (GO:0008641)	6	1	.05	+	19.23	5.86E-02	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	6	1	.05	+	19.23	5.86E-02	1.00E00
