p.value	R.squared
AASS	1.01115901438342e-08	0.713782942702538
ABCF2	8.12814325595176e-10	0.738506851016996
ABTB2	1.45495168513503e-10	0.718912618205663
ACAD9	1.45765771782295e-16	0.830379696639352
ACADSB	1.1013734432636e-16	0.825101502840235
ACAT1	1.03157198802028e-18	0.843223601091333
ACSM5	1.75732150145327e-11	0.756770981312016
ACYP2	3.24399236194336e-10	0.743522960073032
ADK	7.57256541991188e-11	0.719770236984789
AGPAT1	3.45067593637429e-09	0.721766887318901
AIFM1	3.64173458643141e-12	0.762121226716608
ALDH1L1	3.02590099456358e-26	0.866511721080218
ALDH4A1	1.57487263674883e-12	0.764746609608174
ALDH6A1	9.60508076603306e-12	0.772830438675911
ANAPC11	1.54152224015665e-10	0.752817720808309
ANGPTL4	2.09694816125817e-24	0.82188496325952
ANKRD34A	6.0095969876179e-12	0.721835125539417
ANXA6	9.39420907564975e-19	0.843487586750924
AP2B1	2.80252174963098e-14	0.802610348125399
APOO	5.25259067683338e-09	0.720478094286208
APOOL	2.17949444650282e-08	0.703156912611087
ARL10	2.8245350293396e-16	0.82997718906769
ATP5MD	5.8495421786343e-12	0.781902945889803
ATP5PO	3.82527524492428e-08	0.706102148100846
AURKAIP1	5.86273598904832e-15	0.815355953502586
B3GALT4_RPS18	2.06372573658196e-08	0.709199347503221
BBS5_KLHL41	1.91644807249751e-11	0.764640443358741
BCAT2	3.45558348734689e-09	0.700639249692104
BCKDHB	1.29748256874334e-09	0.745346528542189
BNIP3	8.13783209391271e-12	0.737583385904359
CAP2	8.03837864484948e-10	0.732756252580552
CBX1	1.00609924068688e-08	0.707461709776367
CCDC51	3.53851602236062e-09	0.72890038688952
CCNG1	2.55945117634471e-11	0.764566623554398
CDC23	8.01309834990844e-12	0.77670668166501
CDC34	5.81359761401097e-19	0.84935368275449
CDC42EP2	1.55969366115165e-10	0.730061484979476
CDC73	2.13511871234169e-15	0.820449647513346
CDK5R1	1.25859564214829e-22	0.844980969175334
CHCHD2	1.81646885967697e-11	0.757832639205854
CISD1	6.19841634348969e-12	0.783161317891647
CISD3	5.9065596696034e-10	0.739595098364128
CKMT2	1.2627212924353e-11	0.752794272716665
COQ10A	5.42523353631379e-10	0.732735905977794
COQ3	1.55380621483853e-11	0.754462653557352
COQ6	3.97884833339338e-09	0.718357035178118
CREBBP	4.32998618486447e-09	0.718165252642939
CSPP1	9.1857856878727e-11	0.731299207341791
CUEDC1	1.07800958810799e-09	0.73609531353828
CUNH9orf3	2.40349976995366e-15	0.821511965330697
DBT	2.75378385060133e-11	0.759230415458623
DEK	6.66652920360128e-12	0.774932263079699
DHTKD1	1.21065255742772e-10	0.733989473222855
DHX30	1.35059399678393e-12	0.770353145216065
DICER1	6.99363487092012e-09	0.712713187773041
DLAT	3.75178965299707e-15	0.799153994699491
DNAJB6	3.40507480363259e-12	0.772117567403706
DNAJC15	1.06871391382358e-08	0.71017225165048
DNASE1L1	3.22116277205573e-12	0.785868027275293
ECHDC1	4.00610460094261e-14	0.78551235865851
ECSIT	3.45712651891761e-17	0.825815576045539
EGF	7.51497019316443e-13	0.776761192233393
EIF2B5	4.64122703706681e-09	0.724011531162728
EIF2D	7.60802661235212e-09	0.718843113557372
EIF4B	7.89436573293708e-18	0.840956231266719
EMC10	7.55325252020341e-14	0.775562833782166
EMC6	3.07894687460871e-11	0.757185716728905
EPHX2	2.1640461283954e-11	0.778032828758798
EPM2A	3.12226730429549e-14	0.806858014377071
ERBB2	4.10836144686666e-11	0.723800650098229
FAM204A	5.59755785253495e-09	0.719396538421875
FASTKD5	1.6438845812493e-09	0.728044547465712
FBXO25	4.4657397322586e-09	0.721271152373078
FUZ	2.12020923638467e-13	0.768165534265423
GATD3A	1.68027499646241e-08	0.706005682939723
GATM	1.96446907771814e-10	0.759643925177116
GBGT1	4.39178353518254e-11	0.748144789918143
GCAT	1.59899176248672e-11	0.758985064094924
GCDH	4.14159226401128e-13	0.769166368753822
GCLC	1.44116711759027e-08	0.703766859832153
GFM1	2.75398035629461e-13	0.795555268443445
GNG14	1.22814860667954e-08	0.723843298365053
GNL1	2.06731204264725e-11	0.764426847199711
GOT1	2.40364077277447e-16	0.802816259088093
GPT	1.85618456411047e-12	0.738558714066121
GREB1L	2.96324239165564e-13	0.76513231690648
GRPEL1	1.1472269309132e-12	0.790686733974674
GTPBP10	5.65990153781063e-24	0.870256059210864
HAGH	8.90345322665528e-24	0.873483025077935
HAGHL	6.18506963318734e-12	0.788388704509266
HDHD5	2.09337351102518e-21	0.847046041475818
HIBADH	1.70395351725888e-10	0.756142959460098
HIBCH	1.0425096259892e-19	0.855430422060568
HMCN2	4.22344556088452e-16	0.80724628105188
HMOX2	3.11269663534861e-08	0.705482793141363
HSBP1	8.12476149751114e-14	0.797461292902819
IMP4	9.69025194753078e-10	0.708644025749779
IMPDH2	3.08122418762177e-14	0.806470221332372
INO80C	2.85894068540894e-11	0.760473984398333
KBTBD13	1.27258984010942e-08	0.708698986919784
KIZ	5.14799529877026e-14	0.790139731153519
KLF11	9.7651081955867e-12	0.766787041997777
KLHL41	1.56491203703242e-10	0.751965744271993
LAMTOR3	1.66010215975729e-11	0.766582135753926
LARP7	3.39497311582593e-10	0.74685691750403
LCOR	4.44128488357439e-10	0.735154432858566
LOC113241105	5.69401245522743e-14	0.800523084623346
LOC113241604	1.34459987685291e-16	0.8378902912938
LOC113241731	3.95044522645767e-12	0.769619237009975
LOC113242144	2.24507646163075e-20	0.854122013925098
LOC113244197	2.028214750719e-20	0.849122528367611
LOC113244591	2.41517640590481e-17	0.841247249659431
LOC113244843	7.51250251252408e-12	0.762339461127557
LOC113245020	3.01544690104494e-11	0.761955957888025
LOC113246148	2.46723168531748e-09	0.709520299171187
LOC113246846	3.97307094851935e-12	0.774179326970632
LOC113247190	1.01102045365813e-14	0.809049881681476
LOC113248004	1.38174354913951e-10	0.706318044283453
LOC113248167	8.13077424316471e-16	0.807344759697035
LOC113248416	2.17578847369325e-24	0.859733368260863
LOC113249420	7.80601671125156e-09	0.713640237959172
LOC113251521	2.19847361626817e-14	0.774485113768856
LOC113251944	1.45927104861688e-09	0.736066446172372
LOC113252371	3.29058950560307e-09	0.727108092765356
LOC113253205	3.37857539919153e-20	0.850044799004708
LOC113253464_SEC11C	4.71098541311389e-12	0.732455862457095
LOC113254576	1.13320958196321e-22	0.86517167325351
LOC113254676_BTF3L4	4.62338993598839e-23	0.873180498912864
LOC113254994	5.26974995680529e-29	0.886845065851789
LOC113255131	8.1932280072665e-16	0.82434231498166
LOC113256842	5.34606702664506e-09	0.710756870585835
LOC113258537	8.04846666291299e-12	0.77315734291977
LOC113259427	2.58684897164481e-15	0.809322619157616
LOC113260424	8.23667484274999e-16	0.817334077524825
LOC113261074	6.81318452128125e-09	0.71434106996978
LOC113261110	2.93043426285128e-08	0.707159729322436
LOC113261698	5.33474926357228e-11	0.74758886673582
LOC113262771	2.12269673822556e-12	0.729615388747742
LOC113262811	5.94898943997627e-17	0.829421925665762
LOC113263118	8.9957940392712e-18	0.790274996888686
LOC113264284	1.10540822389181e-16	0.823086353159252
LOC113266361	2.03644615349642e-12	0.762362821784903
LOC113268042	2.82019311847984e-09	0.708061542039734
LOC113268412	1.44510545900315e-09	0.736472502282776
LOC113270471	6.28976827657848e-25	0.891598926757821
LOC113270775	7.5778754425313e-17	0.742919955948006
LOC113271252	8.65819808772316e-17	0.824771513810045
LSM1	9.10377341585096e-13	0.786687379675138
MAP1LC3A	9.79876677631352e-21	0.856799502662617
